English;Dutch;Example1;Example2
Behind;Achter;;
Above/bellow;Boven/onder;;
Oppositie ;Tegenover ;;
Against ;Tegen;;
Next to ;Naast;;
On;Op;;
Attached to ;Aan;;
To take along;Meenemen ;;
To coorporate ;Samenwerking ;;
To leave ;Weggaan ;;
To explain ;Uitleggen;;
To get up;Opstaan ;;
To come back;Terugkomen ;;
To pick up;Ophalen ;;
To solve ;Oplossen ;;
To enter;Binnenkomen;;
To make an appointment ;Afspreken ;;
To arrive ;Aankomen;;
To go out ;Uitgaan;;
To offer ;Aanbieden;;
To call up;Opbellen ;;
To clean;Schoonmaken ;;
To close;Dichtdoen ;;
To open;Opendoen ;;
To throw away;Weggooien;;
To get in;Instappen ;;
To get off;Uitstappen ;;
To take away;Wegbrengen ;;
To cross ;Oversteken ;;
To go down;Afgaan ;;
To come across (somebody), walk into (somebody);Tegenkomen ;;
To pay ;Afrekenen ;;
To finish up;Afmaken ;;
To graduate ;Afstuderen ;;
To practice ;Meedoen;;
To come along ;Meekomen ;;
To watch with ;Meekijken ;;
To put down ;Neerleggen ;;
To put down ;Neerzetten ;;
To handle ;Omgaan met;;
To write down ;Opschrijven ;;
